Text,Entities
ANA (Antinuclear Antibody) Test measurements indicate Clear Cell Renal Cell Carcinoma: Stage II.,"{'entities': [(54, 95, 'DIAGNOSIS'), (0, 31, 'TEST_NAME')]}"
The Prenatal Panel revealed a Norovirus in the esophagus.,"{'entities': [(30, 39, 'DIAGNOSIS'), (4, 18, 'TEST_NAME'), (47, 56, 'BODY_PART')]}"
Prescribe 330 mL of Sprintec for pain relief.,"{'entities': [(20, 28, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
He has been prescribed Zinc oxide 140 L.,"{'entities': [(23, 33, 'MEDICATION'), (34, 39, 'DOSAGE')]}"
The Lactate Dehydrogenase (LDH) Test revealed a Non-Seminoma Testicular Cancer: Stage II in the right lung.,"{'entities': [(48, 88, 'DIAGNOSIS'), (4, 36, 'TEST_NAME'), (96, 106, 'BODY_PART')]}"
The Concussion Tests revealed a Anaplastic Astrocytoma in the right sole.,"{'entities': [(32, 54, 'DIAGNOSIS'), (4, 20, 'TEST_NAME'), (62, 72, 'BODY_PART')]}"
Prescribe 710 mL every 16 hours of ivermectin for pain relief.,"{'entities': [(35, 45, 'MEDICATION'), (10, 31, 'DOSAGE')]}"
The Partial Thromboplastin Time (PTT) Test shows normal left ear function.,"{'entities': [(4, 42, 'TEST_NAME'), (56, 64, 'BODY_PART')]}"
Prescribe 175 g of famotidine for pain relief.,"{'entities': [(19, 29, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Electromyography (EMG) and Nerve Conduction Studies revealed a Precancerous Cervix in the left nipple.,"{'entities': [(67, 86, 'DIAGNOSIS'), (4, 55, 'TEST_NAME'), (94, 105, 'BODY_PART')]}"
The patient was diagnosed with Pork Tapeworm last year.,"{'entities': [(31, 44, 'DIAGNOSIS')]}"
Prescribe 165 L of codeine for pain relief.,"{'entities': [(19, 26, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Hepatitis Panel revealed a Pulmonary NTMB Infection in the right collarbone.,"{'entities': [(31, 55, 'DIAGNOSIS'), (4, 19, 'TEST_NAME'), (63, 79, 'BODY_PART')]}"
She mentioned an allergy to Lovenox.,"{'entities': [(28, 35, 'MEDICATION')]}"
She mentioned an allergy to Adderall.,"{'entities': [(28, 36, 'MEDICATION')]}"
She mentioned an allergy to enoxaparin.,"{'entities': [(28, 38, 'MEDICATION')]}"
Prescribe 180 mg of Robafen for pain relief.,"{'entities': [(20, 27, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Examine the Scleral Changes in the patient's left shin.,"{'entities': [(12, 27, 'SYMPTOM'), (45, 54, 'BODY_PART')]}"
Examine the Severe Frostbite On Legs in the patient's abdominal region.,"{'entities': [(12, 36, 'SYMPTOM'), (54, 70, 'BODY_PART')]}"
The Respiratory Pathogens Panel shows normal right heel function.,"{'entities': [(4, 31, 'TEST_NAME'), (45, 55, 'BODY_PART')]}"
He has been prescribed Restasis 800 L every 34 hours.,"{'entities': [(23, 31, 'MEDICATION'), (32, 52, 'DOSAGE')]}"
He has been prescribed Humulin 450 g.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
The Flu (Influenza) Test shows normal left elbow function.,"{'entities': [(4, 24, 'TEST_NAME'), (38, 48, 'BODY_PART')]}"
She mentioned an allergy to codeine.,"{'entities': [(28, 35, 'MEDICATION')]}"
He has been prescribed Remeron 445 L.,"{'entities': [(23, 30, 'MEDICATION'), (31, 36, 'DOSAGE')]}"
Prescribe 495 mL of valsartan for pain relief.,"{'entities': [(20, 29, 'MEDICATION'), (10, 16, 'DOSAGE')]}"
Ketones in Blood measurements indicate Aspergillosis.,"{'entities': [(39, 52, 'DIAGNOSIS'), (0, 16, 'TEST_NAME')]}"
The patient was diagnosed with Elbow Bursitis last year.,"{'entities': [(31, 45, 'DIAGNOSIS')]}"
She mentioned an allergy to Senexon.,"{'entities': [(28, 35, 'MEDICATION')]}"
The Appendicitis Tests revealed a Vulvar Epidermoid Cyst in the abdominal region.,"{'entities': [(34, 56, 'DIAGNOSIS'), (4, 22, 'TEST_NAME'), (64, 80, 'BODY_PART')]}"
Patient presents with Toxoplasmosis Detected.,"{'entities': [(22, 44, 'SYMPTOM')]}"
The patient was diagnosed with Anaplastic Astrocytoma last year.,"{'entities': [(31, 53, 'DIAGNOSIS')]}"
The Skin Biopsy revealed a Aortic Rupture in the right ankle.,"{'entities': [(27, 41, 'DIAGNOSIS'), (4, 15, 'TEST_NAME'), (49, 60, 'BODY_PART')]}"
Down Syndrome Tests measurements indicate Invasive Ductal Carcinoma (IDC).,"{'entities': [(42, 73, 'DIAGNOSIS'), (0, 19, 'TEST_NAME')]}"
Prescribe 225 g of alprazolam for pain relief.,"{'entities': [(19, 29, 'MEDICATION'), (10, 15, 'DOSAGE')]}"
The Hepatitis Panel revealed a Severed Ear in the right breast.,"{'entities': [(31, 42, 'DIAGNOSIS'), (4, 19, 'TEST_NAME'), (50, 62, 'BODY_PART')]}"
Examine the Degloved Skin in the patient's left collarbone.,"{'entities': [(12, 25, 'SYMPTOM'), (43, 58, 'BODY_PART')]}"
The Hemoglobin Electrophoresis revealed a Genital Herpes in the right hip bone.,"{'entities': [(42, 56, 'DIAGNOSIS'), (4, 30, 'TEST_NAME'), (64, 78, 'BODY_PART')]}"
Patient presents with Bent Digit of the Hand.,"{'entities': [(22, 44, 'SYMPTOM')]}"
The Concussion Tests revealed a ACL Injury in the right neck.,"{'entities': [(32, 42, 'DIAGNOSIS'), (4, 20, 'TEST_NAME'), (50, 60, 'BODY_PART')]}"
He has been prescribed ranolazine 430 mL.,"{'entities': [(23, 33, 'MEDICATION'), (34, 40, 'DOSAGE')]}"
She mentioned an allergy to Zinc oxide.,"{'entities': [(28, 38, 'MEDICATION')]}"
The SHBG Blood Test revealed a Mucoepidermoid Carcinoma (High Grade) in the spleen.,"{'entities': [(31, 68, 'DIAGNOSIS'), (4, 19, 'TEST_NAME'), (76, 82, 'BODY_PART')]}"
The patient was diagnosed with Simple Fracture of Clavicle last year.,"{'entities': [(31, 58, 'DIAGNOSIS')]}"
